2021-01-02T16:01:51+02:00
Running ./find2
Run on (4 X 2194.92 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 256 KiB (x2)
  L3 Unified 3072 KiB (x1)
Load Average: 0.13, 0.06, 0.09
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"succArrayFind/10",951855,915.974,919.266,ns,,,,,
"succArrayFind/100",568212,1827.68,1833.34,ns,,,,,
"succArrayFind/1000",92477,11073.5,11008,ns,,,,,
"failArrayFind/10",838045,1094.84,1074.41,ns,,,,,
"failArrayFind/100",302752,2690.25,2695.3,ns,,,,,
"failArrayFind/1000",27420,22360.1,22373.6,ns,,,,,
"succVectorFind/10",696909,1223.41,1203.37,ns,,,,,
"succVectorFind/100",334137,2943.57,2657.2,ns,,,,,
"succVectorFind/1000",89833,9342.48,8879.63,ns,,,,,
"failVectorFind/10",690514,1061.86,1048.91,ns,,,,,
"failVectorFind/100",333393,2282.77,2260.84,ns,,,,,
"failVectorFind/1000",47495,13442.1,13202,ns,,,,,
"succListFind/10",374622,1968.62,1944.33,ns,,,,,
"succListFind/100",30972,33995.7,34411,ns,,,,,
"succListFind/1000",6772,210718,211827,ns,,,,,
"failListFind/10",377959,1754.23,1707.01,ns,,,,,
"failListFind/100",64873,11588.1,11573.3,ns,,,,,
"failListFind/1000",6678,118462,118267,ns,,,,,
"succQueueFind/10",696911,1448.11,1465.95,ns,,,,,
"succQueueFind/100",296265,3035.35,3020.24,ns,,,,,
"succQueueFind/1000",48105,14330.4,14143.4,ns,,,,,
"failQueueFind/10",647858,1571.96,1574.61,ns,,,,,
"failQueueFind/100",255605,3701.79,3653.46,ns,,,,,
"failQueueFind/1000",29706,22706.3,22660.6,ns,,,,,
