"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: noOfElements"
"DataStructures.Find.failArrayFind","avgt",1,1,67.574870,NaN,"ns/op",10
"DataStructures.Find.failArrayFind","avgt",1,1,253.904093,NaN,"ns/op",100
"DataStructures.Find.failArrayFind","avgt",1,1,780.208729,NaN,"ns/op",1000
"DataStructures.Find.failArrayListFind","avgt",1,1,62.353186,NaN,"ns/op",10
"DataStructures.Find.failArrayListFind","avgt",1,1,253.847236,NaN,"ns/op",100
"DataStructures.Find.failArrayListFind","avgt",1,1,3059.097292,NaN,"ns/op",1000
"DataStructures.Find.failHashSetFind","avgt",1,1,66.948437,NaN,"ns/op",10
"DataStructures.Find.failHashSetFind","avgt",1,1,108.733446,NaN,"ns/op",100
"DataStructures.Find.failHashSetFind","avgt",1,1,948.846726,NaN,"ns/op",1000
"DataStructures.Find.failLinkedListFind","avgt",1,1,80.917656,NaN,"ns/op",10
"DataStructures.Find.failLinkedListFind","avgt",1,1,464.704516,NaN,"ns/op",100
"DataStructures.Find.failLinkedListFind","avgt",1,1,11049.417824,NaN,"ns/op",1000
"DataStructures.Find.failTreeSetFind","avgt",1,1,77.371810,NaN,"ns/op",10
"DataStructures.Find.failTreeSetFind","avgt",1,1,252.782774,NaN,"ns/op",100
"DataStructures.Find.failTreeSetFind","avgt",1,1,524.040816,NaN,"ns/op",1000
"DataStructures.Find.succArrayFind","avgt",1,1,99.563759,NaN,"ns/op",10
"DataStructures.Find.succArrayFind","avgt",1,1,109.545229,NaN,"ns/op",100
"DataStructures.Find.succArrayFind","avgt",1,1,698.120214,NaN,"ns/op",1000
"DataStructures.Find.succArrayListFind","avgt",1,1,57.283011,NaN,"ns/op",10
"DataStructures.Find.succArrayListFind","avgt",1,1,179.682614,NaN,"ns/op",100
"DataStructures.Find.succArrayListFind","avgt",1,1,3186.392847,NaN,"ns/op",1000
"DataStructures.Find.succHashSetFind","avgt",1,1,50.071792,NaN,"ns/op",10
"DataStructures.Find.succHashSetFind","avgt",1,1,90.338414,NaN,"ns/op",100
"DataStructures.Find.succHashSetFind","avgt",1,1,401.771693,NaN,"ns/op",1000
"DataStructures.Find.succLinkedListFind","avgt",1,1,72.560139,NaN,"ns/op",10
"DataStructures.Find.succLinkedListFind","avgt",1,1,322.642933,NaN,"ns/op",100
"DataStructures.Find.succLinkedListFind","avgt",1,1,5975.435005,NaN,"ns/op",1000
"DataStructures.Find.succTreeSetFind","avgt",1,1,65.823377,NaN,"ns/op",10
"DataStructures.Find.succTreeSetFind","avgt",1,1,134.028861,NaN,"ns/op",100
"DataStructures.Find.succTreeSetFind","avgt",1,1,618.009362,NaN,"ns/op",1000
