id,module,name,file,doc,markers,status,message,duration
SingleThreading.py::test_threads,SingleThreading,test_threads,SingleThreading.py,,,passed,,454272.3
MultiThreading.py::test_threads_2,MultiThreading,test_threads_2,MultiThreading.py,,,passed,,4162400.0
MultiThreading.py::test_threads_5,MultiThreading,test_threads_5,MultiThreading.py,,,passed,,5889600.0
MultiThreading.py::test_threads_10,MultiThreading,test_threads_10,MultiThreading.py,,,passed,,8447400.0
MultiThreading.py::test_threads_20,MultiThreading,test_threads_20,MultiThreading.py,,,passed,,14718500.0
